State,County,Population,"Population Speaking Spanish at Home
(Age 5+)",Hispanic/Latino,White Alone,Black/African American Alone,American Indian/Alaskan Native Alone,Asian Alone,Native Hawaiian/Pacific Islander Alone,Some Other Race Alone,Two or More Races,"Household Income
<$25k","Household Income
$25k-$50k","Household Income
$50k-$75k","Household Income
$75k-$100k","Household Income
$100k-$150k","Household Income
$150k-$250k","Household Income
$250k+",Median Household Income,No High School Degree,High School Degree,Some College,Undergraduate Degree,Post-Graduate Degree
Alabama,Bullock County,"9,979",10.9%,8.4%,22.2%,69.4%,0.3%,0.1%,0.5%,6.2%,1.3%,40.0%,22.1%,17.4%,5.9%,10.8%,2.0%,1.9%,"$36,043",24.9%,39.9%,16.9%,12.6%,5.8%
Alabama,Clarke County,"23,240",4.4%,1.6%,52.7%,44.7%,0.5%,0.5%,0.0%,0.4%,1.2%,36.0%,23.0%,14.9%,9.1%,10.7%,4.9%,1.4%,"$39,363",18.7%,43.8%,17.2%,15.8%,4.5%
Alabama,Clay County,"13,155",5.2%,3.2%,82.0%,13.7%,0.5%,0.2%,0.0%,1.4%,2.2%,24.9%,28.0%,19.6%,8.8%,11.6%,5.0%,2.1%,"$47,057",24.2%,36.5%,19.5%,15.2%,4.6%
Alabama,Colbert County,"55,470",3.2%,3.0%,79.1%,16.1%,0.6%,0.6%,0.1%,1.4%,2.1%,25.5%,22.3%,19.3%,13.0%,12.3%,5.8%,1.6%,"$52,776",15.4%,36.2%,22.3%,19.2%,6.9%
Alabama,Hale County,"14,508",2.9%,1.6%,40.3%,57.8%,0.3%,0.3%,0.0%,0.5%,0.8%,38.1%,24.2%,15.8%,8.7%,8.3%,3.3%,1.7%,"$33,994",16.3%,42.7%,19.5%,16.8%,4.7%
Alabama,Lauderdale County,"92,746",3.5%,3.2%,85.5%,10.0%,0.4%,0.7%,0.0%,1.5%,1.9%,22.5%,26.5%,17.5%,12.4%,13.2%,5.2%,2.8%,"$51,490",11.6%,38.3%,18.8%,22.6%,8.7%
Alabama,Lee County,"167,412",4.6%,4.1%,68.4%,22.9%,0.3%,4.6%,0.1%,1.6%,2.0%,27.4%,21.4%,14.2%,11.0%,14.7%,7.9%,3.5%,"$52,160",8.8%,23.1%,23.8%,29.8%,14.5%
Alabama,Madison County,"379,966",4.8%,5.4%,66.3%,24.8%,0.8%,2.7%,0.1%,2.3%,3.1%,18.9%,19.2%,16.5%,12.0%,16.0%,12.2%,5.2%,"$68,083",8.4%,20.6%,20.4%,34.1%,16.5%
Alabama,Monroe County,"20,325",1.7%,1.9%,54.5%,41.0%,1.4%,0.5%,0.1%,0.5%,2.0%,43.4%,19.4%,14.4%,7.1%,10.7%,3.7%,1.3%,"$32,858",16.2%,46.3%,15.5%,16.7%,5.3%
Alabama,Randolph County,"22,747",5.2%,3.1%,76.3%,19.1%,0.4%,0.4%,0.1%,1.7%,1.9%,26.9%,26.2%,20.1%,10.8%,10.2%,3.9%,1.7%,"$46,677",21.0%,36.5%,19.7%,17.1%,5.8%
Alabama,Walker County,"63,009",3.2%,2.9%,89.5%,6.2%,0.5%,0.6%,0.1%,1.4%,1.8%,26.8%,23.1%,16.0%,12.6%,15.2%,5.0%,1.4%,"$50,152",18.9%,36.3%,21.6%,19.0%,4.1%
Alaska,Bethel Census Area,"18,426",1.7%,3.0%,9.9%,1.1%,83.0%,1.0%,0.3%,0.7%,4.1%,23.1%,19.8%,15.7%,11.5%,16.3%,10.5%,3.1%,"$61,352",17.7%,45.4%,19.2%,12.9%,4.8%
Alaska,Juneau City and Borough,"31,866",4.9%,7.5%,66.5%,1.4%,11.4%,7.2%,1.4%,1.8%,10.2%,9.3%,11.8%,15.9%,15.3%,23.5%,17.1%,7.1%,"$96,263",3.8%,20.2%,29.2%,32.6%,14.2%
Alaska,Kenai Peninsula Borough,"58,788",3.5%,4.8%,81.8%,0.8%,8.0%,1.9%,0.3%,0.9%,6.4%,17.7%,18.5%,17.0%,13.0%,18.6%,11.4%,3.8%,"$70,358",6.9%,32.1%,28.3%,23.7%,8.9%
Alaska,Kodiak Island Borough,"12,775",8.2%,9.5%,51.5%,1.2%,11.9%,22.6%,1.0%,3.8%,8.1%,13.3%,13.5%,18.9%,14.6%,26.4%,10.2%,3.1%,"$82,457",9.8%,31.2%,25.2%,23.6%,10.1%
Alaska,Prince of Wales-Hyder Census Area,"6,121",2.1%,4.4%,48.9%,0.6%,40.1%,1.1%,0.5%,0.6%,8.2%,18.7%,23.6%,17.8%,13.2%,15.4%,9.5%,1.7%,"$60,710",9.6%,37.1%,28.3%,18.6%,6.3%
Alaska,Valdez-Cordova Census Area,"9,234",4.2%,6.0%,71.1%,1.0%,14.0%,4.9%,0.6%,0.8%,7.6%,14.0%,14.8%,14.4%,16.5%,21.3%,10.7%,8.4%,"$85,374",3.8%,32.6%,25.3%,26.5%,11.7%
Arkansas,Ashley County,"19,221",6.6%,5.9%,69.5%,24.2%,0.4%,0.2%,0.0%,3.9%,1.8%,29.4%,27.2%,16.4%,10.0%,11.6%,4.0%,1.3%,"$43,785",17.2%,40.2%,23.0%,15.7%,4.0%
Arkansas,Carroll County,"28,611",15.6%,16.3%,84.5%,0.8%,1.1%,1.7%,1.2%,7.8%,3.0%,24.0%,27.4%,21.7%,11.2%,10.1%,3.3%,2.4%,"$48,794",13.7%,34.7%,25.8%,18.3%,7.5%
Arkansas,Drew County,"18,088",6.1%,4.5%,66.9%,27.8%,0.5%,0.7%,0.0%,2.6%,1.5%,29.9%,21.0%,14.9%,13.3%,14.8%,4.9%,1.1%,"$48,598",14.3%,35.5%,21.1%,21.4%,7.7%
Arkansas,Hot Spring County,"33,866",5.7%,3.9%,83.7%,11.3%,0.6%,0.4%,0.1%,1.4%,2.4%,26.5%,28.1%,18.6%,11.0%,10.7%,4.2%,1.0%,"$45,738",14.2%,39.8%,23.5%,17.7%,4.9%
Arkansas,Johnson County,"26,700",11.0%,15.1%,81.7%,1.9%,0.9%,2.9%,0.1%,9.6%,2.9%,30.2%,31.1%,16.9%,9.2%,8.1%,3.6%,0.9%,"$40,860",20.1%,41.4%,17.7%,15.2%,5.5%
Arkansas,Madison County,"16,799",4.8%,6.5%,90.5%,0.5%,1.6%,0.8%,0.6%,3.7%,2.4%,27.1%,23.6%,15.8%,13.7%,13.7%,3.9%,2.2%,"$49,285",19.7%,45.8%,16.8%,12.0%,5.6%
Arkansas,Marion County,"16,769",2.6%,2.6%,94.6%,0.7%,0.9%,0.8%,0.1%,0.4%,2.5%,31.5%,28.7%,19.7%,9.2%,7.5%,2.3%,1.0%,"$40,188",12.8%,36.9%,25.4%,18.6%,6.4%
Arkansas,Sharp County,"17,582",2.6%,2.7%,94.4%,0.9%,0.9%,0.6%,0.1%,0.7%,2.4%,34.7%,30.7%,17.3%,9.7%,5.7%,1.1%,0.8%,"$36,022",16.0%,42.1%,22.8%,15.1%,4.0%
Arkansas,Stone County,"12,518",2.0%,2.4%,95.0%,0.5%,1.0%,0.5%,0.0%,0.8%,2.2%,34.3%,27.3%,15.1%,9.5%,11.1%,1.9%,0.9%,"$40,500",19.8%,36.4%,21.4%,18.1%,4.3%
California,Del Norte County,"27,609",9.5%,21.1%,71.6%,3.0%,8.3%,2.9%,0.2%,8.1%,5.9%,28.1%,21.7%,17.6%,12.3%,12.6%,5.0%,2.7%,"$50,205",18.9%,31.5%,26.9%,16.7%,6.0%
California,Nevada County,"99,143",7.2%,10.3%,89.7%,0.6%,1.1%,1.4%,0.2%,3.2%,3.7%,16.9%,20.4%,14.7%,12.1%,18.1%,11.2%,6.6%,"$71,614",4.8%,17.7%,31.1%,34.0%,12.4%
California,Plumas County,"18,696",5.5%,9.8%,87.2%,1.0%,2.6%,1.2%,0.2%,3.7%,4.2%,19.8%,21.7%,17.9%,13.2%,16.1%,8.6%,2.7%,"$61,882",6.1%,25.1%,32.7%,25.9%,10.2%
California,San Luis Obispo County,"281,626",15.6%,23.9%,80.4%,1.8%,1.0%,3.9%,0.1%,8.4%,4.4%,14.4%,17.2%,15.7%,12.6%,18.7%,14.0%,7.3%,"$80,312",8.6%,19.7%,26.0%,32.4%,13.2%
